,Corr,Cond,Pred Model,Param
99,0.640513350009752,"mid EGF,high RA all",Add,b
100,0.6508005754020997,"mid EGF,high RA all",Add,beta
101,0.2770441207241706,"mid EGF,high RA all",Add,gamma
102,0.640448816541809,"mid EGF,high RA RF",Add,b
103,0.6885747966562622,"mid EGF,high RA RF",Add,beta
104,-0.12044023662776257,"mid EGF,high RA RF",Add,gamma
105,0.7537584152403887,"mid EGF,high RA logreg",Mult,b
106,0.716426750004863,"mid EGF,high RA logreg",Mult,beta
107,0.8328500199441635,"mid EGF,high RA logreg",Mult,gamma
108,0.40945707546102933,"mid EGF,high RA all",Mult Neg,b
109,0.4813074389235399,"mid EGF,high RA all",Mult Neg,beta
110,0.43644739991951403,"mid EGF,high RA all",Mult Neg,gamma
111,0.20073884558813415,"mid EGF,mid RA RF",Mult Neg,b
112,0.4297685302025167,"mid EGF,mid RA RF",Mult Neg,beta
113,0.31813920110468347,"mid EGF,mid RA RF",Mult Neg,gamma
114,0.6672410387278337,"mid EGF,mid RA all",Mult,b
115,0.5138087025405205,"mid EGF,mid RA all",Mult,beta
116,0.6681890555095833,"mid EGF,mid RA all",Mult,gamma
117,0.5275297033694976,"mid EGF,mid RA RF",Mult,b
118,0.6459982279203805,"mid EGF,mid RA RF",Mult,beta
119,0.563235454720432,"mid EGF,mid RA RF",Mult,gamma
120,0.1302888010524897,"mid EGF,mid RA all",Add Neg,b
121,0.3155049717258061,"mid EGF,mid RA all",Add Neg,beta
122,0.02859519506855577,"mid EGF,mid RA all",Add Neg,gamma
123,0.1591469181029552,"mid EGF,mid RA RF",Add Neg,b
124,0.19234473544943226,"mid EGF,mid RA RF",Add Neg,beta
125,-0.16305232519581114,"mid EGF,mid RA RF",Add Neg,gamma
126,0.39464324678995033,"mid EGF,mid RA all",Add,b
127,0.39635736496164703,"mid EGF,mid RA all",Add,beta
128,0.3461793663358103,"mid EGF,mid RA all",Add,gamma
129,0.07749835456036083,"mid EGF,mid RA RF",Add,b
130,0.8322877272960052,"mid EGF,mid RA RF",Add,beta
131,0.3136445447000013,"mid EGF,mid RA RF",Add,gamma
132,0.8481440440707183,"mid EGF,mid RA logreg",Mult,b
133,0.41245100841310994,"mid EGF,mid RA logreg",Mult,beta
134,0.860523082745738,"mid EGF,mid RA logreg",Mult,gamma
135,0.591067898981108,"low BMP4,high RA all",Mult Neg,b
136,0.5784254738485938,"low BMP4,high RA all",Mult Neg,beta
137,0.5650127744237863,"low BMP4,high RA all",Mult Neg,gamma
138,0.5841106006394104,"low BMP4,high RA RF",Mult Neg,b
139,0.5390436066936214,"low BMP4,high RA RF",Mult Neg,beta
140,0.4906407216563461,"low BMP4,high RA RF",Mult Neg,gamma
141,0.71493964260416,"low BMP4,high RA all",Mult,b
142,0.7198108748510588,"low BMP4,high RA all",Mult,beta
143,0.7258363782178109,"low BMP4,high RA all",Mult,gamma
144,0.6522534311165192,"low BMP4,high RA RF",Mult,b
